row,column,original,fixed,reason
84,mean_systolic_bp,127.3757143,127.38,小数桁丸め
85,mean_systolic_bp,103.566,103.57,小数桁丸め
86,mean_systolic_bp,136.9214286,136.92,小数桁丸め
87,mean_systolic_bp,122.795,122.80,小数桁丸め
88,mean_systolic_bp,109.3357143,109.34,小数桁丸め
89,mean_systolic_bp,110.495,110.50,小数桁丸め
92,mean_systolic_bp,129.9911111,129.99,小数桁丸め
93,mean_systolic_bp,135.32875,135.33,小数桁丸め
94,mean_systolic_bp,127.3683333,127.37,小数桁丸め
95,mean_systolic_bp,126.9233333,126.92,小数桁丸め
96,mean_systolic_bp,111.1183333,111.12,小数桁丸め
97,mean_systolic_bp,108.282,108.28,小数桁丸め
99,mean_systolic_bp,108.5322222,108.53,小数桁丸め
100,mean_systolic_bp,97.10857143,97.11,小数桁丸め
101,mean_systolic_bp,109.2577778,109.26,小数桁丸め
102,mean_systolic_bp,129.0814286,129.08,小数桁丸め
103,mean_systolic_bp,132.2666667,132.27,小数桁丸め
106,mean_systolic_bp,108.1157143,108.12,小数桁丸め
107,mean_systolic_bp,98.38777778,98.39,小数桁丸め
108,mean_systolic_bp,120.152,120.15,小数桁丸め
109,mean_systolic_bp,126.49375,126.49,小数桁丸め
111,mean_systolic_bp,131.3075,131.31,小数桁丸め
112,mean_systolic_bp,105.6314286,105.63,小数桁丸め
114,mean_systolic_bp,106.6066667,106.61,小数桁丸め
116,mean_systolic_bp,106.5671429,106.57,小数桁丸め
117,mean_systolic_bp,114.702,114.70,小数桁丸め
118,mean_systolic_bp,130.1425,130.14,小数桁丸め
119,mean_systolic_bp,113.0133333,113.01,小数桁丸め
120,mean_systolic_bp,128.9383333,128.94,小数桁丸め
121,mean_systolic_bp,127.022,127.02,小数桁丸め
122,mean_systolic_bp,108.4866667,108.49,小数桁丸め
123,mean_systolic_bp,120.1685714,120.17,小数桁丸め
124,mean_systolic_bp,116.9975,117.00,小数桁丸め
125,mean_systolic_bp,127.4157143,127.42,小数桁丸め
126,mean_systolic_bp,114.155,114.16,小数桁丸め
127,mean_systolic_bp,127.2771429,127.28,小数桁丸め
128,mean_systolic_bp,130.652,130.65,小数桁丸め
129,mean_systolic_bp,131.096,131.10,小数桁丸め
130,mean_systolic_bp,103.3522222,103.35,小数桁丸め
131,mean_systolic_bp,116.0783333,116.08,小数桁丸め
132,mean_systolic_bp,112.9671429,112.97,小数桁丸め
133,mean_systolic_bp,130.8166667,130.82,小数桁丸め
134,mean_systolic_bp,128.5266667,128.53,小数桁丸め
135,mean_systolic_bp,128.332,128.33,小数桁丸め
136,mean_systolic_bp,130.74625,130.75,小数桁丸め
137,mean_systolic_bp,134.48125,134.48,小数桁丸め
138,mean_systolic_bp,100.2271429,100.23,小数桁丸め
139,mean_systolic_bp,110.1075,110.11,小数桁丸め
140,mean_systolic_bp,132.4742857,132.47,小数桁丸め
141,mean_systolic_bp,111.4275,111.43,小数桁丸め
142,mean_systolic_bp,132.2666667,132.27,小数桁丸め
143,mean_systolic_bp,126.92875,126.93,小数桁丸め
144,mean_systolic_bp,105.352,105.35,小数桁丸め
145,mean_systolic_bp,132.3933333,132.39,小数桁丸め
146,mean_systolic_bp,109.335,109.34,小数桁丸め
147,mean_systolic_bp,130.685,130.69,小数桁丸め
148,mean_systolic_bp,120.1714286,120.17,小数桁丸め
149,mean_systolic_bp,137.0666667,137.07,小数桁丸め
150,mean_systolic_bp,118.7825,118.78,小数桁丸め
153,mean_systolic_bp,132.4742857,132.47,小数桁丸め
155,mean_systolic_bp,124.3771429,124.38,小数桁丸め
156,mean_systolic_bp,110.3328571,110.33,小数桁丸め
157,mean_systolic_bp,132.1942857,132.19,小数桁丸め
159,mean_systolic_bp,117.0828571,117.08,小数桁丸め
160,mean_systolic_bp,125.4083333,125.41,小数桁丸め
162,mean_systolic_bp,98.38777778,98.39,小数桁丸め
163,mean_systolic_bp,110.8488889,110.85,小数桁丸め
164,mean_systolic_bp,114.22875,114.23,小数桁丸め
165,mean_systolic_bp,121.5033333,121.50,小数桁丸め
166,mean_systolic_bp,116.2575,116.26,小数桁丸め
167,mean_systolic_bp,103.60125,103.60,小数桁丸め
169,mean_systolic_bp,126.29625,126.30,小数桁丸め
171,mean_systolic_bp,103.8785714,103.88,小数桁丸め
173,mean_systolic_bp,128.565,128.57,小数桁丸め
174,mean_systolic_bp,127.706,127.71,小数桁丸め
175,mean_systolic_bp,131.1475,131.15,小数桁丸め
176,mean_systolic_bp,122.0614286,122.06,小数桁丸め
177,mean_systolic_bp,104.5533333,104.55,小数桁丸め
178,mean_systolic_bp,127.6083333,127.61,小数桁丸め
179,mean_systolic_bp,128.2133333,128.21,小数桁丸め
180,mean_systolic_bp,131.4188889,131.42,小数桁丸め
181,mean_systolic_bp,133.3383333,133.34,小数桁丸め
182,mean_systolic_bp,129.4042857,129.40,小数桁丸め
184,mean_systolic_bp,131.8233333,131.82,小数桁丸め
185,mean_systolic_bp,108.6833333,108.68,小数桁丸め
186,mean_systolic_bp,130.9316667,130.93,小数桁丸め
188,mean_systolic_bp,130.506,130.51,小数桁丸め
189,mean_systolic_bp,102.48375,102.48,小数桁丸め
190,mean_systolic_bp,106.2888889,106.29,小数桁丸め
192,mean_systolic_bp,133.7911111,133.79,小数桁丸め
193,mean_systolic_bp,126.4716667,126.47,小数桁丸め
194,mean_systolic_bp,115.272,115.27,小数桁丸め
196,mean_systolic_bp,126.2066667,126.21,小数桁丸め
198,mean_systolic_bp,128.722,128.72,小数桁丸め
199,mean_systolic_bp,112.4657143,112.47,小数桁丸め
200,mean_systolic_bp,130.506,130.51,小数桁丸め
204,mean_systolic_bp,133.4733333,133.47,小数桁丸め
205,mean_systolic_bp,129.4942857,129.49,小数桁丸め
206,mean_systolic_bp,118.9655556,118.97,小数桁丸め
207,mean_systolic_bp,119.5411111,119.54,小数桁丸め
208,mean_systolic_bp,106.075,106.08,小数桁丸め
209,mean_systolic_bp,124.57625,124.58,小数桁丸め
210,mean_systolic_bp,133.4733333,133.47,小数桁丸め
211,mean_systolic_bp,119.50375,119.50,小数桁丸め
212,mean_systolic_bp,109.9671429,109.97,小数桁丸め
213,mean_systolic_bp,132.0825,132.08,小数桁丸め
214,mean_systolic_bp,124.006,124.01,小数桁丸め
215,mean_systolic_bp,125.972,125.97,小数桁丸め
216,mean_systolic_bp,125.122,125.12,小数桁丸め
217,mean_systolic_bp,108.965,108.97,小数桁丸め
218,mean_systolic_bp,109.2577778,109.26,小数桁丸め
219,mean_systolic_bp,104.2475,104.25,小数桁丸め
220,mean_systolic_bp,118.715,118.72,小数桁丸め
221,mean_systolic_bp,138.3016667,138.30,小数桁丸め
222,mean_systolic_bp,105.4071429,105.41,小数桁丸め
224,mean_systolic_bp,131.26625,131.27,小数桁丸め
225,mean_systolic_bp,112.1842857,112.18,小数桁丸め
226,mean_systolic_bp,116.3483333,116.35,小数桁丸め
227,mean_systolic_bp,111.6083333,111.61,小数桁丸め
228,mean_systolic_bp,130.3983333,130.40,小数桁丸め
229,mean_systolic_bp,104.6314286,104.63,小数桁丸め
230,mean_systolic_bp,128.6466667,128.65,小数桁丸め
231,mean_systolic_bp,138.53375,138.53,小数桁丸め
232,mean_systolic_bp,139.7585714,139.76,小数桁丸め
233,mean_systolic_bp,110.204,110.20,小数桁丸め
235,mean_systolic_bp,99.46333333,99.46,小数桁丸め
238,mean_systolic_bp,128.86125,128.86,小数桁丸め
239,mean_systolic_bp,115.6588889,115.66,小数桁丸め
240,mean_systolic_bp,132.0275,132.03,小数桁丸め
241,mean_systolic_bp,134.5533333,134.55,小数桁丸め
242,mean_systolic_bp,110.4422222,110.44,小数桁丸め
244,mean_systolic_bp,127.3642857,127.36,小数桁丸め
245,mean_systolic_bp,137.7433333,137.74,小数桁丸め
247,mean_systolic_bp,132.0275,132.03,小数桁丸め
248,mean_systolic_bp,128.7914286,128.79,小数桁丸め
249,mean_systolic_bp,105.5933333,105.59,小数桁丸め
250,mean_systolic_bp,106.606,106.61,小数桁丸め
251,mean_systolic_bp,127.738,127.74,小数桁丸め
252,mean_systolic_bp,119.0333333,119.03,小数桁丸め
253,mean_systolic_bp,130.8516667,130.85,小数桁丸め
254,mean_systolic_bp,133.0366667,133.04,小数桁丸め
255,mean_systolic_bp,112.7677778,112.77,小数桁丸め
256,mean_systolic_bp,114.716,114.72,小数桁丸め
257,mean_systolic_bp,132.704,132.70,小数桁丸め
258,mean_systolic_bp,103.916,103.92,小数桁丸め
259,mean_systolic_bp,123.5675,123.57,小数桁丸め
260,mean_systolic_bp,132.28625,132.29,小数桁丸め
261,mean_systolic_bp,129.655,129.66,小数桁丸め
262,mean_systolic_bp,105.00375,105.00,小数桁丸め
264,mean_systolic_bp,128.7914286,128.79,小数桁丸め
265,mean_systolic_bp,118.1355556,118.14,小数桁丸め
267,mean_systolic_bp,102.3233333,102.32,小数桁丸め
268,mean_systolic_bp,121.7083333,121.71,小数桁丸め
269,mean_systolic_bp,124.8525,124.85,小数桁丸め
270,mean_systolic_bp,119.3742857,119.37,小数桁丸め
271,mean_systolic_bp,121.2566667,121.26,小数桁丸め
272,mean_systolic_bp,131.3133333,131.31,小数桁丸め
273,mean_systolic_bp,116.286,116.29,小数桁丸め
274,mean_systolic_bp,131.5566667,131.56,小数桁丸め
275,mean_systolic_bp,110.255,110.26,小数桁丸め
276,mean_systolic_bp,121.1583333,121.16,小数桁丸め
277,mean_systolic_bp,106.9466667,106.95,小数桁丸め
278,mean_systolic_bp,104.665,104.67,小数桁丸め
279,mean_systolic_bp,126.4411111,126.44,小数桁丸め
280,mean_systolic_bp,132.442,132.44,小数桁丸め
281,mean_systolic_bp,121.045,121.05,小数桁丸め
283,mean_systolic_bp,116.2575,116.26,小数桁丸め
284,mean_systolic_bp,137.742,137.74,小数桁丸め
285,mean_systolic_bp,112.7157143,112.72,小数桁丸め
286,mean_systolic_bp,130.8516667,130.85,小数桁丸め
287,mean_systolic_bp,106.408,106.41,小数桁丸め
288,mean_systolic_bp,129.73875,129.74,小数桁丸め
289,mean_systolic_bp,138.466,138.47,小数桁丸め
290,mean_systolic_bp,106.5671429,106.57,小数桁丸め
291,mean_systolic_bp,125.92375,125.92,小数桁丸め
292,mean_systolic_bp,115.0144444,115.01,小数桁丸め
293,mean_systolic_bp,114.702,114.70,小数桁丸め
294,mean_systolic_bp,109.27625,109.28,小数桁丸め
296,mean_systolic_bp,101.6375,101.64,小数桁丸め
297,mean_systolic_bp,105.6375,105.64,小数桁丸め
299,mean_systolic_bp,136.966,136.97,小数桁丸め
300,mean_systolic_bp,131.1155556,131.12,小数桁丸め
302,mean_systolic_bp,107.4685714,107.47,小数桁丸め
303,mean_systolic_bp,121.0822222,121.08,小数桁丸め
305,mean_systolic_bp,127.5325,127.53,小数桁丸め
307,mean_systolic_bp,117.3214286,117.32,小数桁丸め
308,mean_systolic_bp,125.928,125.93,小数桁丸め
309,mean_systolic_bp,108.7928571,108.79,小数桁丸め
310,mean_systolic_bp,128.6666667,128.67,小数桁丸め
311,mean_systolic_bp,127.5833333,127.58,小数桁丸め
312,mean_systolic_bp,127.8657143,127.87,小数桁丸め
313,mean_systolic_bp,104.0214286,104.02,小数桁丸め
314,mean_systolic_bp,130.556,130.56,小数桁丸め
315,mean_systolic_bp,111.678,111.68,小数桁丸め
316,mean_systolic_bp,105.3133333,105.31,小数桁丸め
317,mean_systolic_bp,128.8866667,128.89,小数桁丸め
318,mean_systolic_bp,103.8785714,103.88,小数桁丸め
319,mean_systolic_bp,130.3377778,130.34,小数桁丸め
320,mean_systolic_bp,105.754,105.75,小数桁丸め
321,mean_systolic_bp,126.852,126.85,小数桁丸め
322,mean_systolic_bp,97.265,97.27,小数桁丸め
323,mean_systolic_bp,128.5266667,128.53,小数桁丸め
324,mean_systolic_bp,123.5975,123.60,小数桁丸め
325,mean_systolic_bp,128.2922222,128.29,小数桁丸め
326,mean_systolic_bp,127.5433333,127.54,小数桁丸め
327,mean_systolic_bp,114.1314286,114.13,小数桁丸め
329,mean_systolic_bp,136.025,136.03,小数桁丸め
330,mean_systolic_bp,132.44375,132.44,小数桁丸め
331,mean_systolic_bp,128.26875,128.27,小数桁丸め
332,mean_systolic_bp,105.9975,106.00,小数桁丸め
333,mean_systolic_bp,111.452,111.45,小数桁丸め
334,mean_systolic_bp,122.405,122.41,小数桁丸め
335,mean_systolic_bp,111.7916667,111.79,小数桁丸め
336,mean_systolic_bp,131.1475,131.15,小数桁丸め
338,mean_systolic_bp,126.2342857,126.23,小数桁丸め
339,mean_systolic_bp,112.0883333,112.09,小数桁丸め
340,mean_systolic_bp,99.435,99.44,小数桁丸め
341,mean_systolic_bp,125.475,125.48,小数桁丸め
342,mean_systolic_bp,123.5975,123.60,小数桁丸め
345,mean_systolic_bp,126.3744444,126.37,小数桁丸め
346,mean_systolic_bp,131.3133333,131.31,小数桁丸め
347,mean_systolic_bp,108.3266667,108.33,小数桁丸め
348,mean_systolic_bp,130.62375,130.62,小数桁丸め
349,mean_systolic_bp,105.622,105.62,小数桁丸め
350,mean_systolic_bp,108.8885714,108.89,小数桁丸め
351,mean_systolic_bp,112.8975,112.90,小数桁丸め
352,mean_systolic_bp,105.7333333,105.73,小数桁丸め
353,mean_systolic_bp,131.26625,131.27,小数桁丸め
354,mean_systolic_bp,121.335,121.34,小数桁丸め
355,mean_systolic_bp,106.17125,106.17,小数桁丸め
356,mean_systolic_bp,126.3466667,126.35,小数桁丸め
357,mean_systolic_bp,108.8542857,108.85,小数桁丸め
358,mean_systolic_bp,131.4142857,131.41,小数桁丸め
359,mean_systolic_bp,127.6083333,127.61,小数桁丸め
360,mean_systolic_bp,119.0014286,119.00,小数桁丸め
361,mean_systolic_bp,100.16625,100.17,小数桁丸め
362,mean_systolic_bp,130.7975,130.80,小数桁丸め
364,mean_systolic_bp,119.535,119.54,小数桁丸め
366,mean_systolic_bp,131.9042857,131.90,小数桁丸め
368,mean_systolic_bp,126.6657143,126.67,小数桁丸め
369,mean_systolic_bp,133.4733333,133.47,小数桁丸め
370,mean_systolic_bp,106.8516667,106.85,小数桁丸め
371,mean_systolic_bp,134.0022222,134.00,小数桁丸め
373,mean_systolic_bp,123.22875,123.23,小数桁丸め
374,mean_systolic_bp,122.214,122.21,小数桁丸め
375,mean_systolic_bp,130.0933333,130.09,小数桁丸め
376,mean_systolic_bp,104.7428571,104.74,小数桁丸め
377,mean_systolic_bp,133.3533333,133.35,小数桁丸め
378,mean_systolic_bp,126.5066667,126.51,小数桁丸め
380,mean_systolic_bp,110.255,110.26,小数桁丸め
381,mean_systolic_bp,136.925,136.93,小数桁丸め
383,mean_systolic_bp,128.9875,128.99,小数桁丸め
385,mean_systolic_bp,130.1985714,130.20,小数桁丸め
386,mean_systolic_bp,126.2225,126.22,小数桁丸め
387,mean_systolic_bp,133.3942857,133.39,小数桁丸め
388,mean_systolic_bp,109.6225,109.62,小数桁丸め
389,mean_systolic_bp,130.022,130.02,小数桁丸め
390,mean_systolic_bp,130.61625,130.62,小数桁丸め
391,mean_systolic_bp,107.4283333,107.43,小数桁丸め
392,mean_systolic_bp,110.5566667,110.56,小数桁丸め
393,mean_systolic_bp,127.7771429,127.78,小数桁丸め
394,mean_systolic_bp,129.9383333,129.94,小数桁丸め
395,mean_systolic_bp,126.9233333,126.92,小数桁丸め
396,mean_systolic_bp,134.922,134.92,小数桁丸め
397,mean_systolic_bp,114.155,114.16,小数桁丸め
398,mean_systolic_bp,131.068,131.07,小数桁丸め
399,mean_systolic_bp,130.64625,130.65,小数桁丸め
400,mean_systolic_bp,109.708,109.71,小数桁丸め
401,mean_systolic_bp,136.3766667,136.38,小数桁丸め
403,mean_systolic_bp,134.6283333,134.63,小数桁丸め
404,mean_systolic_bp,131.8325,131.83,小数桁丸め
405,mean_systolic_bp,103.0285714,103.03,小数桁丸め
406,mean_systolic_bp,123.8077778,123.81,小数桁丸め
408,mean_systolic_bp,115.6566667,115.66,小数桁丸め
410,mean_systolic_bp,112.8388889,112.84,小数桁丸め
411,mean_systolic_bp,122.214,122.21,小数桁丸め
412,mean_systolic_bp,134.9575,134.96,小数桁丸め
413,mean_systolic_bp,95.69666667,95.70,小数桁丸め
414,mean_systolic_bp,125.6844444,125.68,小数桁丸め
415,mean_systolic_bp,109.2183333,109.22,小数桁丸め
416,mean_systolic_bp,105.5933333,105.59,小数桁丸め
417,mean_systolic_bp,112.586,112.59,小数桁丸め
418,mean_systolic_bp,130.2071429,130.21,小数桁丸め
420,mean_systolic_bp,128.5166667,128.52,小数桁丸め
423,mean_systolic_bp,127.4228571,127.42,小数桁丸め
424,mean_systolic_bp,129.9188889,129.92,小数桁丸め
425,mean_systolic_bp,133.7957143,133.80,小数桁丸め
426,mean_systolic_bp,114.058,114.06,小数桁丸め
428,mean_systolic_bp,110.8077778,110.81,小数桁丸め
429,mean_systolic_bp,107.5916667,107.59,小数桁丸め
430,mean_systolic_bp,109.6233333,109.62,小数桁丸め
431,mean_systolic_bp,104.886,104.89,小数桁丸め
432,mean_systolic_bp,117.68125,117.68,小数桁丸め
433,mean_systolic_bp,112.8975,112.90,小数桁丸め
434,mean_systolic_bp,132.1883333,132.19,小数桁丸め
435,mean_systolic_bp,130.7142857,130.71,小数桁丸め
436,mean_systolic_bp,104.7688889,104.77,小数桁丸め
437,mean_systolic_bp,135.49125,135.49,小数桁丸め
438,mean_systolic_bp,101.4257143,101.43,小数桁丸め
439,mean_systolic_bp,126.2066667,126.21,小数桁丸め
440,mean_systolic_bp,107.4022222,107.40,小数桁丸め
444,mean_systolic_bp,116.5977778,116.60,小数桁丸め
446,mean_systolic_bp,111.7125,111.71,小数桁丸め
447,mean_systolic_bp,112.4766667,112.48,小数桁丸め
448,mean_systolic_bp,128.528,128.53,小数桁丸め
449,mean_systolic_bp,136.8271429,136.83,小数桁丸め
450,mean_systolic_bp,128.0757143,128.08,小数桁丸め
451,mean_systolic_bp,130.6225,130.62,小数桁丸め
452,mean_systolic_bp,122.5355556,122.54,小数桁丸め
454,mean_systolic_bp,113.1928571,113.19,小数桁丸め
456,mean_systolic_bp,130.506,130.51,小数桁丸め
457,mean_systolic_bp,110.79375,110.79,小数桁丸め
458,mean_systolic_bp,125.634,125.63,小数桁丸め
459,mean_systolic_bp,106.6066667,106.61,小数桁丸め
460,mean_systolic_bp,123.4471429,123.45,小数桁丸め
461,mean_systolic_bp,111.434,111.43,小数桁丸め
462,mean_systolic_bp,106.4983333,106.50,小数桁丸め
463,mean_systolic_bp,118.5955556,118.60,小数桁丸め
464,mean_systolic_bp,127.4157143,127.42,小数桁丸め
465,mean_systolic_bp,103.1166667,103.12,小数桁丸め
466,mean_systolic_bp,130.14625,130.15,小数桁丸め
467,mean_systolic_bp,109.52375,109.52,小数桁丸め
468,mean_systolic_bp,118.7825,118.78,小数桁丸め
469,mean_systolic_bp,115.40875,115.41,小数桁丸め
471,mean_systolic_bp,130.685,130.69,小数桁丸め
472,mean_systolic_bp,123.2433333,123.24,小数桁丸め
473,mean_systolic_bp,128.2922222,128.29,小数桁丸め
475,mean_systolic_bp,131.4428571,131.44,小数桁丸め
476,mean_systolic_bp,127.9157143,127.92,小数桁丸め
477,mean_systolic_bp,101.2466667,101.25,小数桁丸め
478,mean_systolic_bp,112.4671429,112.47,小数桁丸め
479,mean_systolic_bp,104.244,104.24,小数桁丸め
480,mean_systolic_bp,109.3671429,109.37,小数桁丸め
481,mean_systolic_bp,110.79875,110.80,小数桁丸め
482,mean_systolic_bp,127.93125,127.93,小数桁丸め
483,mean_systolic_bp,96.98166667,96.98,小数桁丸め
484,mean_systolic_bp,126.6766667,126.68,小数桁丸め
486,mean_systolic_bp,124.006,124.01,小数桁丸め
487,mean_systolic_bp,102.3183333,102.32,小数桁丸め
488,mean_systolic_bp,126.7716667,126.77,小数桁丸め
489,mean_systolic_bp,111.7125,111.71,小数桁丸め
490,mean_systolic_bp,124.8525,124.85,小数桁丸め
491,mean_systolic_bp,127.146,127.15,小数桁丸め
492,mean_systolic_bp,132.9133333,132.91,小数桁丸め
494,mean_systolic_bp,133.7957143,133.80,小数桁丸め
495,mean_systolic_bp,115.586,115.59,小数桁丸め
496,mean_systolic_bp,107.5325,107.53,小数桁丸め
497,mean_systolic_bp,114.345,114.35,小数桁丸め
498,mean_systolic_bp,113.6142857,113.61,小数桁丸め
499,mean_systolic_bp,125.4083333,125.41,小数桁丸め
500,mean_systolic_bp,123.2433333,123.24,小数桁丸め
501,mean_systolic_bp,123.22875,123.23,小数桁丸め
503,mean_systolic_bp,123.9228571,123.92,小数桁丸め
504,mean_systolic_bp,102.0257143,102.03,小数桁丸め
505,mean_systolic_bp,113.4542857,113.45,小数桁丸め
507,mean_systolic_bp,109.3844444,109.38,小数桁丸め
508,mean_systolic_bp,113.4542857,113.45,小数桁丸め
510,mean_systolic_bp,106.6014286,106.60,小数桁丸め
511,mean_systolic_bp,105.655,105.66,小数桁丸め
512,mean_systolic_bp,111.2588889,111.26,小数桁丸め
514,mean_systolic_bp,126.7828571,126.78,小数桁丸め
515,mean_systolic_bp,108.2128571,108.21,小数桁丸め
516,mean_systolic_bp,105.9975,106.00,小数桁丸め
517,mean_systolic_bp,108.5322222,108.53,小数桁丸め
518,mean_systolic_bp,133.7683333,133.77,小数桁丸め
519,mean_systolic_bp,101.198,101.20,小数桁丸め
520,mean_systolic_bp,110.8271429,110.83,小数桁丸め
522,mean_systolic_bp,132.256,132.26,小数桁丸め
523,mean_systolic_bp,131.0066667,131.01,小数桁丸め
524,mean_systolic_bp,107.8128571,107.81,小数桁丸め
525,mean_systolic_bp,127.9316667,127.93,小数桁丸め
527,mean_systolic_bp,109.2566667,109.26,小数桁丸め
528,mean_systolic_bp,132.2833333,132.28,小数桁丸め
529,mean_systolic_bp,106.4022222,106.40,小数桁丸め
531,mean_systolic_bp,125.396,125.40,小数桁丸め
532,mean_systolic_bp,128.26875,128.27,小数桁丸め
533,mean_systolic_bp,126.0471429,126.05,小数桁丸め
534,mean_systolic_bp,109.6766667,109.68,小数桁丸め
535,mean_systolic_bp,130.62375,130.62,小数桁丸め
536,mean_systolic_bp,106.8071429,106.81,小数桁丸め
537,mean_systolic_bp,113.02625,113.03,小数桁丸め
538,mean_systolic_bp,108.638,108.64,小数桁丸め
539,mean_systolic_bp,135.1383333,135.14,小数桁丸め
540,mean_systolic_bp,136.1688889,136.17,小数桁丸め
541,mean_systolic_bp,126.254,126.25,小数桁丸め
542,mean_systolic_bp,129.0914286,129.09,小数桁丸め
544,mean_systolic_bp,127.7542857,127.75,小数桁丸め
545,mean_systolic_bp,128.6575,128.66,小数桁丸め
547,mean_systolic_bp,109.775,109.78,小数桁丸め
548,mean_systolic_bp,110.23625,110.24,小数桁丸め
549,mean_systolic_bp,109.698,109.70,小数桁丸め
550,mean_systolic_bp,124.285,124.29,小数桁丸め
551,mean_systolic_bp,132.0211111,132.02,小数桁丸め
552,mean_systolic_bp,106.8516667,106.85,小数桁丸め
554,mean_systolic_bp,109.0266667,109.03,小数桁丸め
555,mean_systolic_bp,136.6085714,136.61,小数桁丸め
556,mean_systolic_bp,108.7233333,108.72,小数桁丸め
557,mean_systolic_bp,126.122,126.12,小数桁丸め
558,mean_systolic_bp,123.7828571,123.78,小数桁丸め
559,mean_systolic_bp,132.024,132.02,小数桁丸め
560,mean_systolic_bp,101.4533333,101.45,小数桁丸め
561,mean_systolic_bp,130.3983333,130.40,小数桁丸め
563,mean_systolic_bp,116.0071429,116.01,小数桁丸め
564,mean_systolic_bp,108.8542857,108.85,小数桁丸め
